Symbol,Name,Sector,Industry,MarketCap,Country,Exchange
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1065947758592,United States,NYQ
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,9199719424,United States,NYQ
WAT,Waters Corporation,Healthcare,Diagnostics & Research,19303790592,United States,NYQ
BA,The Boeing Company,Industrials,Aerospace & Defense,102771269632,United States,NYQ
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,139328274432,United States,NMS
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,26109808640,United States,NYQ
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,43969822720,United States,NYQ
ANET,Arista Networks Inc,Technology,Computer Hardware,81178296320,United States,NYQ
HES,Hess Corporation,Energy,Oil & Gas E&P,41175478272,United States,NYQ
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,79723388928,United States,NMS
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,23459762176,United States,NMS
CDW,CDW Corporation,Technology,Information Technology Services,19143770112,United States,NMS
TXN,Texas Instruments Incorporated,Technology,Semiconductors,137752494080,United States,NMS
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,35428368384,United States,NYQ
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,29078401024,United States,NMS
NFLX,"Netflix, Inc.",Communication Services,Entertainment,366100086784,United States,NMS
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,27350872064,United States,NYQ
KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,11645735936,United States,NYQ
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,369285431296,United States,NYQ
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,406626598912,United States,NMS
REG,Regency Centers Corporation,Real Estate,REIT - Retail,12558983168,United States,NMS
ACN,Accenture plc,Technology,Information Technology Services,178580389888,Ireland,NYQ
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,6902736896,United States,NYQ
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,35420114944,United States,NMS
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,8230001152,United States,NYQ
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,25327491072,United States,NYQ
UNP,Union Pacific Corporation,Industrials,Railroads,127810560000,United States,NYQ
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,36884545536,United States,NYQ
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,21313257472,United States,NYQ
RF,Regions Financial Corporation,Financial Services,Banks - Regional,16895977472,United States,NYQ
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,94553079808,United States,NYQ
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,13657528320,United States,NYQ
PAYC,"Paycom Software, Inc.",Technology,Software - Application,11207855104,United States,NYQ
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,38597832704,United States,NYQ
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,79556853760,United States,NMS
SW,Smurfit Westrock Plc,Consumer Cyclical,Packaging & Containers,21432334336,Ireland,NYQ
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,66272129024,United States,NMS
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,65139789824,United States,NMS
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,55547916288,United States,NMS
EG,"Everest Group, Ltd.",Financial Services,Insurance - Reinsurance,14469649408,Bermuda,NYQ
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,34336419840,Switzerland,NYQ
CRM,"Salesforce, Inc.",Technology,Software - Application,231370358784,United States,NYQ
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,63882240000,United States,NMS
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,112522223616,United States,NYQ
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,452745854976,United States,NYQ
GL,Globe Life Inc.,Financial Services,Insurance - Life,9757721600,United States,NYQ
HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,17222379520,United States,NYQ
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,31907485696,United States,NMS
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,9304027136,United States,NMS
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,45414518784,United States,NYQ
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,261460295680,United States,NYQ
NWS,News Corporation,Communication Services,Entertainment,14515105792,United States,NMS
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,45871718400,United States,NMS
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,40284635136,United States,NYQ
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,7669900288,United States,NYQ
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,18001199104,United States,NMS
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,7561198592,United States,NMS
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,9095917568,United States,NMS
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,22722920448,United States,NMS
HUM,Humana Inc.,Healthcare,Healthcare Plans,30628263936,United States,NYQ
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,11297967104,United States,NMS
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,199109443584,United States,NYQ
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,214416883712,United States,NYQ
AFL,Aflac Incorporated,Financial Services,Insurance - Life,55662211072,United States,NYQ
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,158147788800,United States,NMS
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,22513463296,United States,NYQ
PSA,Public Storage,Real Estate,REIT - Industrial,49911398400,United States,NYQ
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,25467731968,United States,NYQ
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,26333954048,United States,NYQ
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,52634673152,United States,NYQ
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,23201695744,United States,NYQ
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,18698358784,United States,NYQ
RTX,RTX Corporation,Industrials,Aerospace & Defense,156806316032,United States,NYQ
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,19943213056,United States,NYQ
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,18220367872,United States,NYQ
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,45398171648,United States,NYQ
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,20736606208,United States,NMS
ON,ON Semiconductor Corporation,Technology,Semiconductors,14223051776,United States,NMS
FOXA,Fox Corporation,Communication Services,Entertainment,21605447680,United States,NMS
STE,STERIS plc,Healthcare,Medical Devices,20889102336,United States,NYQ
